 X (m/s2), Theta (deg)
4.277241,98.512283
4.463989,99.602226
4.51307,97.469032
4.727351,93.776451
5.036203,89.702072
5.562928,86.274155
6.132748,83.288277
6.593631,80.686127
6.622362,79.527184
5.656301,81.73745
5.273229,85.079475
4.906917,88.425797
4.408922,91.631447
4.456807,93.868721
4.436456,96.776802
4.140772,97.116806
3.96001,96.072624
4.043807,94.74659
4.240131,93.178436
4.473566,91.599762
4.675876,90.376091
4.881777,89.23777
5.046977,88.429794
5.197812,87.918877
5.234922,87.747406
5.222951,88.045464
5.167884,88.906578
5.064934,89.787643
4.951209,90.597244
4.879383,91.152809
4.879383,90.865837
4.939238,90.013802
5.051765,89.286034
5.163096,88.882721
5.21098,88.667206
5.243302,88.804031
5.251681,89.023064
5.199009,89.143105
5.084087,89.26741
4.989516,89.656303
4.924873,90.231857
4.881777,90.703606
4.850653,90.845924
4.824317,90.832153
4.818331,90.819908
4.863821,90.572128
4.885368,90.201744
4.930859,89.916878
4.970363,89.619545
5.001487,89.191566
5.01705,88.815399
5.044583,88.723839
5.069722,88.744583
5.088876,88.677063
5.032612,89.678352
4.805163,89.97197
4.724957,91.339996
4.661511,90.190582
4.914099,89.777267
4.96318,89.617332
4.946421,89.580956
4.945224,89.650002
4.947618,89.740318
4.932055,89.789635
4.940435,89.70549
4.936844,89.71257
4.941632,89.874397
4.944026,90.027847
4.935647,90.090546
4.929661,89.972145
4.928464,89.979095
4.928464,89.825783
4.932055,89.763161
4.94283,89.742432
4.967968,89.763939
4.989516,89.882088
4.966772,89.958267
4.935647,90.062653
4.948815,90.132111
4.922479,90.125595
4.912902,89.979034
4.918888,90.055801
4.923676,89.993027
4.94283,89.958313
4.961983,89.951408
4.948815,89.993042
4.948815,89.972153
4.96318,89.8535
4.981137,89.839966
4.979939,89.860939
4.983531,90.062614
4.989516,90.132256
4.965574,89.944336
4.938041,89.986084
4.94283,90.097221
4.951209,90.256866
4.953603,90.410614
4.920084,90.398125
4.923676,90.286682
4.933253,90.216522
4.928464,90.125458
4.939238,90.389038
4.939238,90.389038
4.990714,90.14563
5.051765,90.239418
4.896142,90.246559
5.024232,89.891251
5.056554,89.694359
4.993108,89.895607
4.965574,90.3134
5.09127,90.587761
5.291186,90.655045
4.735731,91.419777
5.313931,91.281601
4.741716,92.137383
4.707001,92.322929
5.020641,91.629951
4.977545,90.633125
4.915296,89.801346
4.954801,89.141281
5.075707,88.966667
5.195418,89.137291
5.263652,89.608917
5.299565,89.77269
5.319916,90.087296
5.249287,89.883469
5.125986,89.401489
5.092467,89.039818
5.184644,89.302612
5.341464,90.181808
5.397728,91.193146
5.195418,92.10939
4.898537,92.513176
4.892551,91.818596
5.075707,90.829758
5.222951,90.234985
5.184644,90.654533
4.811148,91.603294
5.261258,91.670013
5.160702,91.972389
5.015852,92.251534
5.11162,91.6446
5.200206,91.161644
5.243302,91.13118
5.164293,91.418198
5.109226,92.09539
5.342661,91.960258
5.177461,91.956657
5.197812,91.744972
5.215768,90.976189
5.269638,90.405396
5.336676,89.938072
5.336676,90.254021
5.284003,90.818489
5.155913,90.881264
5.353435,90.616859
5.328296,90.75676
5.298368,90.987442
5.287594,91.323936
5.064934,90.975098
5.286397,90.625015
5.23971,91.06485
5.099649,91.347023
5.015852,91.683113
5.424064,91.656616
5.218163,91.810371
5.11162,91.713654
5.146337,91.232811
5.181053,90.823914
5.18225,90.785141
5.193024,91.226852
5.194221,91.315224
5.215768,91.198822
